Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
Voodoo,"Handicap moteur, troubles du comportement, Protection de l'Enfance, depuis 1892 l’Association Cazin-Perrochaud accompagne au quotidien des enfants, des adultes ainsi que leurs familles dans l'autodétermination et la réalisation de leur projet de vie.
Reconnue d’intérêt général c'est une structure dynamique et innovante en constante évolution pour répondre aux besoins des territoires et des personnes accompagnées.
 
Laïcité, Humanisme, Non-lucrativité, Bienveillance, Solidarité sont des valeurs fortes et affirmées qui constituent le socle de ses actions.","Association, Santé","Berck, Audruicq, Baincthun, Beaurainville, Boulogne-Sur-Mer, Leforest, Samer",67 offres,/fr/companies/voodoo/jobs
Colonies,"La Poste change, nos métiers évoluent.
Être toujours au plus près des Français, développer la confiance dans le numérique et être acteur de la transformation écologique, c'est aussi le sens de notre métier.
Chaque jour, sur l'ensemble du territoire, nos collaborateurs imaginent les services de demain pour répondre aux besoins de nos clients et leur apporter la meilleure qualité de service. Et chaque jour, à La Poste, nous nous engageons pour nos collaborateurs en les accompagnant dans le développement du parcours professionnel qui leur ressemble. Pour nous, l’engagement vis-à-vis de nos collaborateurs, c’est leur permettre de donner le meilleur d’eux-mêmes et de réaliser leurs ambitions.
Nous rejoindre, c'est rejoindre une entreprise responsable. Vous aussi, engagez-vous à nos côtés pour donner du sens à votre métier.",Banque,Paris,7 offres,/fr/companies/colonies/jobs
Send-Up by Cirrusware,"GoodFloow décarbonne l'industrie en rendant l'utilisation des emballages industriels réutilisables moins chers que les emballages jetables. Pour cela elle developpe une solution technologique de rupture de suivi et de gestion des emballages industriels réutilisables qui en divise le cout d'usage par 3.
Labellisée DeepTech par la BPI, et faisant partie de l'EIT Manufacuturing, GoodFloow  développe sa solution avec 4 laboratoires publics: IMT ATlantique, IMT Nord Europe, INRIA Nord Europe et IRCICA.","Intelligence artificielle / Machine Learning, Logistique, Objets connectés",Nantes,5 offres,/fr/companies/cirrusware/jobs
Choose,"✌️ Choose, c’est avant tout l’histoire de Timothée, Thibaut et Vincent : 3 amis d’enfance formant un beau melting-pot de passionnés de tech, de design et de belles marques et qui ont toujours voulu s’investir dans un projet qui a du sens.
✨ Aujourd’hui, L'application met en avant les plus belles marques et leurs histoires dans une ambiance de concept store.
🌱 Les marques de demain : des marques créatives, portées par des passionnés et tournées vers l’avenir. Nous nous appliquons à partager de manière transparente leurs engagements (artisanal, socialement engagé, Made in France…) pour essayer de répandre et valoriser les initiatives positives pour un monde plus durable.
🎯 Nous accompagnons les marques sur leur stratégie d’acquisition et de visibilité en leur donnant accès à une communauté d'utilisateurs engagés, curieux et précurseurs.
📱 Mobile Only : chez Choose on a un peu l’obsession du travail bien fait, un jusqu’au-boutisme qui nous pousse à mettre toute notre énergie dans le développement de la meilleure app mobile possible. Tous les jours, avec tout notre cœur, tout simplement.
Choose fait partie de la liste des 50 startups dans lesquelles vous aurez envie d’aller travailler en 2024 de Elinoï.","Application mobile, E-commerce, Mode","Paris, New York",18 offres,/fr/companies/choose/jobs
Factory,"Depuis 2011, Mind7 Consulting, expert du temps réel, conseille, accompagne et aide ses clients à améliorer leurs performances opérationnelles et acquérir une meilleure compréhension de leurs données.
Le développement que connaît le cabinet de conseil atteste notamment de sa solide expertise sur des projets en matière de transformation des métiers (excellence opérationnelle, agilité, green IT), de modernisation des applications (architectures réactives, SI événementiel, temps réel) et de valorisation des données (PLM Analytics, API Management, aide à la décision).
L'ambition de Mind7 Consulting est simple : devenir l'ESN préférée des clients et des consultants !
L'entreprise donne aux consultants les moyens de s’épanouir, de progresser et de prendre des responsabilités.
Nos valeurs se regroupent autour de 5 piliers :

Le progrès : notre mission est de progresser et de faire progresser, être meilleurs demain qu’aujourd’hui
L'initiative : encourager l’innovation et la prise d’initiative
L'engagement : s’obliger à la transparence vis-à-vis de nos clients et salariés
Le collectif : valoriser le travail collectif et partager les mêmes valeurs
La responsabilité sociétale : nous sommes engagés dans une démarche RSE et sommes labellisés Positive Workplace
","Big Data, IT / Digital, Logiciels",Paris,6 offres,/fr/companies/factory/jobs
GentleIT,"Nous sommes nativement très impliqués dans un des axes majeurs de la lutte contre le réchauffement climatique : la substitution rapide aux énergies fossiles. 
La plupart du marché construit des nouvelles installations solaires. Feedgy se concentre sur les surfaces déjà équipées depuis plus de 8 ans pour remplacer les panneaux d’origine par des panneaux beaucoup plus performants, augmentant ainsi la production par m² et optimisant les surfaces existantes, pour limiter l’emprise des sols et des paysages.
La compétitivité des énergies renouvelables et les services digitaux pour les insérer dans le futur modèle énergétique sont donc la clé pour accompagner les exploitants photovoltaïques agriculteurs, tout comme les grands groupes français. 
C’est sur cette vision que nous nous basons depuis 2015 et qui a fait de Feedgy un acteur unique de l’innovation en physique photonique et digitale.","Bureau d'études et d'ingénierie, Energie, Ingénieries Spécialisées, Intelligence artificielle / Machine Learning",Paris,2 offres,/fr/companies/gentleit/jobs
WeShareTrust,"CDVIA est un Bureau d'Etudes Techniques spécialisé dans les études de mobilités en France.
Acteur majeur dans le domaine de la planification des réseaux de transports, l'ensemble des équipes travaille depuis 3 agences pour répondre aux besoins des territoires en matière de mobilités et déplacements. L'accompagnement de CDVIA se fait aussi bien sur l'analyse de la situation existante que sur la projection des mobilités dans les années à venir.","Bureau d'études et d'ingénierie, Mobilité","Maisons-Alfort, Montpellier, Saint-Herblain",4 offres,/fr/companies/aviquali/jobs
NSA,"Factory est un acteur indépendant du secteur de l'Immobilier qui conseille et accompagne les entreprises engagées dans une démarche de transformation. De la définition à la mise en oeuvre de leur projet immobilier, Factory a pour mission de faire de leurs bureaux des outils d’engagement et de performance.
Les 90 collaborateurs qui composent le Gang Facto se démarquent par leurs talents et esprits créatifs pour bousculer les codes des bureaux traditionnels afin de construire ensemble le futur au travail.
#TheFutureAtWork",Aménagement / Design,Saint-Ouen-Sur-Seine,4 offres,/fr/companies/naim-steinmetz-associes/jobs
Paritel,"Acteur majeur du numérique en santé en France, Cegedim Santé représente l’ensemble des solutions et services en santé du groupe Cegedim, utilisées par 100 000 professionnels de santé qui nous font confiance et portées par des équipes de 1100 collaborateurs engagés, présents dans toute la France.","IT / Digital, Santé",Boulogne-Billancourt,36 offres,/fr/companies/paritel/jobs
ITQ GROUP,"Depuis sa création en 2014, Deepomatic a mis en place un logiciel d’intelligence artificielle permettant de construire et d'exploiter des systèmes de reconnaissance d’images personnalisés et à l’échelle industrielle.
Nous travaillons pour des organisations de secteurs variés (télécommunications, énergie, infrastructures, location d'équipement, restauration, ...) pour les aider à améliorer leur efficacité sur le terrain grâce à la reconnaissance d’images.",Intelligence artificielle / Machine Learning,"Paris, New York",7 offres,/fr/companies/itq-group/jobs
AB Solutions,"La société AB Solutions est une entreprise de conseil aux entreprises du secteur agricole. Nos clients sont des viticulteurs, maraîchers, ostréiculteurs, arboriculteurs etc.
Nous intervenons partout en France et comptons pour le moment 6 antennes physiques à Lyon, Bordeaux, Nantes, Bouaye, Martigues et Bayonne.
Notre principale mission est de réaliser pour nos clients l'audit des charges sociales et fiscales assises sur leur masse salariale.
Le modèle choisi est celui du win-win. La prestation n'est rémunérée que si l'audit donne lieu à la récupération d'économies.","Audit, Environnement / Développement durable","Bayonne, Lyon, Nantes, Villeurbanne",Candidatures spontanées !,/fr/companies/ab-solutions/jobs
ERM,"Ces dernières années, la lutte contre l’illectronisme est devenue une cause nationale comparable à la lutte contre l'illettrisme, car la dématérialisation s’accélère et impacte tous les aspects du quotidien : renouveler ses papiers d’identité, chercher un logement, accéder à ses droits… bien souvent, tout cela n’est plus possible sans internet.
Pour les personnes en précarité sociale qui ne sont pas équipées ou n’ont pas les compétences nécessaires, c’est une double peine : déjà marginalisées, elles sont coupées de la plupart des services essentiels. Leur accompagnement vers plus d’autonomie numérique est notre combat quotidien.
Créée en 2013 et membre du mouvement Emmaüs, l’association Emmaüs Connect a redonné le pouvoir d’agir à plus de 135 000 personnes en difficulté sociale et numérique grâce à une équipe d'une centaine de salariés épaulée par plus de 1500 bénévoles sur 19 territoires d'action.
Nous agissons de 3 manières : en fournissant des moyens de connexion et équipements à tarifs solidaires, en accompagnant les personnes en difficulté sur les usages de base, et en formant des professionnels de l’action sociale aux pratiques de l’inclusion numérique.","Association, IT / Digital, ONG","Paris, Bordeaux, Béthune, Charleville-Mézières, Créteil, Gap, Grenoble, Lille, Lyon, Marseille, Orléans, Reims, Saint-Denis, Strasbourg",9 offres,/fr/companies/erm-france/jobs
